review,source,n,sentiment
"""One of the intriguing aspects of this historical drama is the way the ""Tories"" or British American Loyalists are portrayed, and the sort of gloss given to their ardent support for King George III. In many ways the American Revolution was definitely a family affair, in that some of the wealthier colonial families were split asunder by it. If there is a strong criticism to be made of this film, it is that perhaps the people in this story are made out to be a little bit nicer than they were in real life.<br /><br />In some regards, the actions of the character of Major Boulton, played by Cornel Wilde, make him the least likable member of the cast and the flaw in the storyline. He seems to vary from being a prickly kind of patriot to being a kind of 'anything for the cause,' fellow. This film does concentrate heavily on the notions of personal honor and personal prestige which were a major social 'norm' in that day and age.<br /><br />In its subtext, the fact that about twenty-five percent of the colonial population was decidedly pro-British is glossed over, too. But the strength of the Tory element is not obviously maligned, although the good doctor character is about eighty-five percent upper class twit ( to steal a fine phrase from Monty Python's Flying Circus ). Anne Francis does a whole lot with a rather thin section of the script, and it stands out. She was a good choice for the woman of divided loyalties, a 'gal' who was rather more modern than the social conventions of that day might have allowed -- if there had not been a life and death struggle going on.<br /><br />One good aspect of the film is the way the rivalries of the American revolutionary leaders degenerated into outright jealousies, and how these personal conflicts very nearly sabotaged the entire revolutionary effort. All in all, the leading characters are very well drawn, the minor characters are not just human ""props"" and the fight scenes are believable enough to carry the dramatic action.<br /><br />This is a great spy movie. It's not quite a great historical drama, but it does satisfy well enough. It rates a seven largely because Cornel Wilde is so deeply immersed in his role, and does it so well, and because Anne Francis makes the most of her supporting effort.<br /><br />The color print used on Turner Classic Movies was very clear, as well, and so it was an enjoyable presentation in that important regard.<br /><br />Hope it runs again soon.""",IMDB,431,positive
"""Taut and organically gripping, Edward Dmytryk's Crossfire is a distinctive suspense thriller, an unlikely ""message"" movie using the look and devices of the noir cycle.<br /><br />Bivouacked in Washington, DC, a company of soldiers cope with their restlessness by hanging out in bars. Three of them end up at a stranger's apartment where Robert Ryan, drunk and belligerent, beats their host (Sam Levene) to death because he happens to be Jewish. Police detective Robert Young investigates with the help of Robert Mitchum, who's assigned to Ryan's outfit. Suspicion falls on the second of the three (George Cooper), who has vanished. Ryan slays the third buddy (Steve Brodie) to insure his silence before Young closes in.<br /><br />Abetted by a superior script by John Paxton, Dmytryk draws precise performances from his three starring Bobs. Ryan, naturally, does his prototypical Angry White Male (and to the hilt), while Mitchum underplays with his characteristic alert nonchalance (his role, however, is not central); Young may never have been better. Gloria Grahame gives her first fully-fledged rendition of the smart-mouthed, vulnerable tramp, and, as a sad sack who's leeched into her life, Paul Kelly haunts us in a small, peripheral role that he makes memorable.<br /><br />The politically engaged Dmytryk perhaps inevitably succumbs to sermonizing, but it's pretty much confined to Young's reminiscence of how his Irish grandfather died at the hands of bigots a century earlier (thus, incidentally, stretching chronology to the limit). At least there's no attempt to render an explanation, however glib, of why Ryan hates Jews (and hillbillies and...).<br /><br />Curiously, Crossfire survives even the major change wrought upon it -- the novel it's based on (Richard Brooks' The Brick Foxhole) dealt with a gay-bashing murder. But homosexuality in 1947 was still Beyond The Pale. News of the Holocaust had, however, begun to emerge from the ashes of Europe, so Hollywood felt emboldened to register its protest against anti-Semitism (the studios always quaked at the prospect of offending any potential ticket buyer).<br /><br />But while the change from homophobia to anti-Semitism works in general, the specifics don't fit so smoothly. The victim's chatting up a lonesome, drunk young soldier then inviting him back home looks odd, even though (or especially since) there's a girlfriend in tow. It raises the question whether this scenario was retained inadvertently or left in as a discreet tip-off to the original engine generating Ryan's murderous rage.""",IMDB,400,positive
"""""Ardh Satya"" is one of the finest film ever made in Indian Cinema. Directed by the great director Govind Nihalani, this one is the most successful Hard Hitting Parallel Cinema which also turned out to be a Commercial Success. Even today, Ardh Satya is an inspiration for all leading directors of India.<br /><br />The film tells the Real-life Scenario of Mumbai Police of the 70s. Unlike any Police of other cities in India, Mumbai Police encompasses a Different system altogether. Govind Nihalani creates a very practical Outlay with real life approach of Mumbai Police Environment.<br /><br />Amongst various Police officers & colleagues, the film describes the story of Anand Velankar, a young hot-blooded Cop coming from a poor family. His father is a harsh Police Constable. Anand himself suffers from his father's ideologies & incidences of his father's Atrocities on his mother. Anand's approach towards immediate action against crime, is an inert craving for his own Job satisfaction. The film is here revolved in a Plot wherein Anand's constant efforts against crime are trampled by his seniors.This leads to frustrations, as he cannot achieve the desired Job-satisfaction. Resulting from the frustrations, his anger is expressed in excessive violence in the remand rooms & bars, also turning him to an alcoholic.<br /><br />The Spirit within him is still alive, as he constantly fights the system. He is aware of the system of the Metro, where the Police & Politicians are a inertly associated by far end. His compromise towards unethical practice is negative. Finally he gets suspended.<br /><br />The Direction is a master piece & thoroughly hard core. One of the best memorable scenes is when Anand breaks in the Underworld gangster Rama Shetty's house to arrest him, followed by short conversation which is fantastic. At many scenes, the film has Hair-raising moments.<br /><br />The Practical approach of Script is a major Punch. Alcoholism, Corruption, Political Influence, Courage, Deceptions all are integral part of Mumbai police even today. Those aspects are dealt brilliantly.<br /><br />Finally, the films belongs to the One man show, Om Puri portraying Anand Velankar traversing through all his emotions absolutely brilliantly.""",IMDB,354,positive
"""I have been a fervent Hal Hartley supporter since I saw his short ""Surviving Desire"" in high school, and even then was still completely unmoored by his searingly brilliant ""Henry Fool."" But this 10-year-later sequel is not only unnecessary, it's disgraceful.<br /><br />After a choppy and expeditious start, ""Fay Grim"" devolves into pseudo-intellectualism, flat out boredom, and finally unwarranted - and unwanted - nihilism. And that's just the plot.<br /><br />The majority of the new faces are as frivolous and poorly-developed as the movie: one particularly flat character ends up hogging half the time we spend with the infamous Henry Fool himself, and it's his only spoken scene in the film!<br /><br />Jeff Goldblum's Agent Fulbright, it seems, is the only bright character (a pun surely intended by Hartley as well). How, then, is he left? **SPOILER** Dead via a car bombing, easily making this the gentle-natured Hartley's most violent film to date, and tonally all wrong in a film that's already all wrong from the word go.<br /><br />As for the other new characters, Angus James, Ned Fool (or is it Grim?), not to mention Fay herself... well, I won't spoil their fates, as the movie does a good enough job of that all on its own (when it isn't busying itself with yet another godawful canted angle, which gives the disconcerting impression that Hartley is moving backwards from Auteur to crappy film student).<br /><br />This piece is a complete disaster, a dreadful mess that isn't even good-humored enough to revel in its messiness. Instead it self-indulgently crams the typically fun hipster pretenses of its director into the ""real world"", one uglier and meaner than it need be but not nearly ugly or mean enough to come close to having anything to say. In doing so, Hartley tracks sh*t all over my memories of these people and the marvelous world he originally created for them.<br /><br />I have rarely been so depressed at the movies, and I'm counting ""Leaving Las Vegas,"" which at least developed fresh new characters we grew to love before destroying them, instead of immediately disregarding characters already beloved.<br /><br />Grim, indeed.""",IMDB,356,negative
"""I bought this film at Blockbuster for $3.00, because it sounded interesting (a bit Ranma-esque, with the idea of someone dragging around a skeleton), because there was a cute girl in a mini-skirt on the back, and because there was a Restricted Viewing sticker on it. I thought it was going to be a sweet or at least sincere coming of age story with a weird indie edge. I was 100% wrong.<br /><br />Having watched it, I have to wonder how it got the restricted sticker, since there is hardly any foul language, little violence, and the closest thing to nudity (Honestly! I don't usually go around hoping for it!) is when the girl is in her nightgown and you see her panties (you see her panties a lot in this movie, because no matter what, she's wearing a miniskirt of some sort). Even the anti-religious humor is tame (and lame, caricatured, insincere, derivative, unoriginal, and worst of all not funny in the slightest--it would be better just to listen to Ray Stevens' ""Would Jesus Wear a Rolex on His Television Show""). This would barely qualify as PG-13 (it is Not Rated), but Blockbuster refuses to let anyone under the age of 17 rent this--as if it was pornographic. Any little kid could go in there and rent the edited version of Requiem for a Dream, but they insist that Zack and Reba is worse.<br /><br />It is, but not in that way.<br /><br />In a way, this worries me--the only thing left that could offend people is the idea of the suicide at the beginning. If anybody needs to see movies with honestly portrayed suicides (not this one, but better ones like The Virgin Suicides), it's teenagers. If both of those movies were rated R purely because of the suicide aspect, then I have little chance of turning a story I've been writing into a PG-13 movie (the main characters are eleven and a half and twelve). Suicide is one of the top three leading causes of death in teenagers (I think it's number 2), so chances are that most teens have been or will be affected by it.<br /><br />Just say no to this movie, though. 2/10.""",IMDB,369,negative
"""The strong points in the film were clear for the beginning and middle part of the film. It showed how a very violent, reactive authority might react to resistance. Filmed in the fashion of a documentary, the director captures what would have happened if the United States enacted martial law. Volunteering for ""punishment park,"" a training ground for cops where you're bullied and harassed, would offer you an out to this dire scenario. It switches between the court trials for those facing accusations, those who are in the park escaping police attention, the training of officers preparing to handle these prisoners, the judges in their leisure time, among many other things. It was a very strong, deeply moving film.<br /><br />The only fault I had with this was its realism. Officers are often seen holding their pistols like they were seven years old with a plastic toy (i.e. a 90 degree bent elbow when pointing a gun in someone's face, or the way one cop just makes it look like it's hard to kick someone when they're down, etc., etc..). It starts out as an honest and interesting attempt to capture a very critical state of political affairs. By the end of the film, the viewer is slowly reminded again and again of the prejudices of the director and the producers. The antagonist characters in the story start out as genuine, real human beings and then slowly progress into ""stereotypical, objectifiable forces of evil"" by the very end. The mistakes they make are stupid, the force they demonstrate is unreal and unlike the way real police act, the judges during this court hearing are shown making stupid and unreal mistakes, among many other things.<br /><br />The realness of the movie started to fall apart when it became evident that this was just another blank-check attempt to make government look bad. And that's coming from an Anarchist. The scenes at the end started to get hokey, unreal, and a thousand times over-dramatic. Still, for the earlier part of it, it promises some very moving storyline.""",IMDB,344,positive
"""Ever watched a movie that lost the plot? Well, this didn't even really have one to begin with.<br /><br />Where to begin? The achingly tedious scenes of our heroine sitting around the house with actually no sense of menace or even foreboding created even during the apparently constant thunderstorms (that are strangely never actually heard in the house-great double glazing)? The house that is apparently only a few miles from a town yet is several hours walk away(?) or the third girl who serves no purpose to the plot except to provide a surprisingly quick gory murder just as the tedium becomes unbearable? Or even the beginning which suggests a spate of 20+ killings throughout the area even though it is apparent the killer never ventures far from the house? Or the bizarre ritual with the salt & pepper that pretty much sums up most of the films inherent lack of direction.<br /><br />Add a lead actress who can't act but at least is willing to do some completely irrelevant nude shower scenes and this video is truly nasty, but not in the way you hope.<br /><br />Given a following simply for being banned in the UK in the 80's (mostly because of a final surprisingly over extended murder) it offers nothing but curiosity value- and one classic 'daft' murder (don't worry-its telegraphed at least ten minutes before).<br /><br />After a walk in the woods our victim comes to a rather steep upward slope which they obviously struggle up. Halfway through they see a figure at the top dressed in black and brandishing a large scythe. What do they do? Slide down and run like the rest of us? No, of course not- they struggle to the top and stand conveniently nice and upright in front of the murder weapon.<br /><br />It really IS only a movie as they say..""",IMDB,310,negative
"""After sitting through this pile of dung, my husband and I wondered whether it was actually the product of an experiment to see whether a computer program could produce a movie. It was that listless and formulaic. But the U.S. propaganda thrown in your face throughout the film proves--disappointingly--that it's the work of humans. Call me a conspiracy theorist, but quotes like, ""We have to steal the Declaration of Independence to protect it"" seem like ways to justify actions like the invasion of Iraq, etc. The fact that Nicholas Cage spews lines like, ""I would never use the Declaration of Independence as a bargaining chip"" with a straight face made me and my husband wonder whether the entire cast took Valium before shooting each scene. The ""reasoning"" behind each plot turn and new ""clue"" is truly ridiculous and impossible to follow. And there's also a bonus side plot of misogyny, with Dr. Whatever-Her-Name-Was being chided by all involved for ""never shutting up."" She's clearly in the movie only for looks, but they felt the need to slap a ""Dr."" title on her character to give her some gravity. At one point, Cage's character says, ""Don't you ever shut up?"" and the camera pans to her looking poutily down at her hands, like she's a child. Truly grotesque. The only benefit to this movie was that it's so astonishingly bad, you do get a few laughs out of it. The really scary thing is that a majority of the people watching the movie with us seemed to enjoy it. Creepy....""",IMDB,259,negative
"""I had heard good things about ""States of Grace"" and came in with an open mind. I thought that ""God's Army"" was okay, and I thought that maybe Dutcher had improved and matured as a filmmaker. The film began with some shaky acting, and I thought, ""well, maybe it will get better."" Unfortunately, it never did. The picture starts out by introducing two elders -- Mormon missionaries -- and it seems that the audience will get to know them and grow to care about them. Instead, the story degenerates into a highly improbable series of unfortunate events highlighting blatant disobedience by the missionaries (something that undeniably exists, but rarely on the level that Dutcher portrays) and it becomes almost laughable.<br /><br />Dutcher's only success in this movie is his successful alienation of his target audience. By unrealistically and inaccurately portraying the lives of Mormon missionaries, Dutcher accomplishes nothing more than angering his predominantly Mormon audience. The film in no way reflects reality. Missions are nothing like what Dutcher shows (having served a Mormon mission myself I can attest to this fact) and gang life in California certainly contains much more explicit language than the occasional mild vulgarity.<br /><br />The conclusion, which I'm assuming was supposed to touch the audience and inspire them to believe that forgiveness is available to all, was both unbelievable (c'mon, the entire mission gathers to see this elder sent home -- and the mom and the girl are standing right next to each other!) and cheesy. Next time, Dutcher, try making a movie that SOMEONE can identify with.""",IMDB,262,negative
"""Filmed by MGM on the same sets as the English version, but in German, Garbo's second portrayal of ""Anna Christie"" benefited from practice and her apparent ease with German dialog. Garbo appears more relaxed and natural under Jacques Feyder's direction than under Clarence Brown's, and her silent movie mannerisms have all but disappeared, which made her transition to sound complete. The strength she brought to the character remains here, although it has been softened, and Garbo reveals more of Anna's vulnerability. The entire cast, with the exception of Garbo, is different from the previous version of the film, and Garbo benefits from not having to compete with Marie Dressler, who stole every scene she was in during the English-language version. In Feyder's film, Garbo holds the center of attention throughout, although the three supporting players, particularly the father, gave excellent performances.<br /><br />Feyder's direction was more assured than Clarence Brown's, and his use of the camera and editing techniques did not seem as constrained by the new sound process as did those of Brown. The film moves with more fluidity than the English language adaptation, and the static nature of the first film has been replaced with a flow that maintains viewer interest. Even William Daniels cinematography seems improved over his filming of the Brown version. He captured Garbo's luminescence and the atmospherics of the docks with style. Also, the screenplay adaptation for the European audience made Anna's profession quite clear from the start, and the explicitness clarifies for viewers who were unfamiliar with the play as to what was only implied in the Brown filming. However, the film was made before the Production Code was introduced, which made the censorship puzzling.<br /><br />Garbo's Oscar nomination for ""Anna Christie"" was always somewhat mystifying, and I suspected that the nod was given more in recognition of her relatively smooth transition to sound films than for her performance. However, some of the Academy voters may have seen the German-language version of the film, and they realized, as will contemporary viewers, that her ""Anna Christie"" under Feyder's direction was definitely Oscar worthy.""",IMDB,349,positive
"""I turned 13 when Elvis hit the big times in 1956 with his first RCA hit. A year later Buddy Holly stepped in to give the King some competition. One of Buddy's major talents, besides his unique singing style and his songwriting ability, is often downplayed. Buddy was also a skilled lead guitar player, developing a unique rockabilly style all his own on his Fender Strat. Gary Busey attempts to capture this aspect of Buddy's persona. There were other contemporary master guitar rockers of equal caliber, such as Chuck Berry, Carl Perkins, and Eddie Cochran, but Buddy's talent is often overlooked.<br /><br />As noted by others, Busey is the driving force behind the success of ""The Buddy Holly Story."" Not only does the script play with the facts of Buddy's life, but it even interjects several anachronisms for the two years of Buddy's popularity, basically 1957-1959. One that comes to mind is the scene where Buddy and Maria are watching a 3-D movie. Buddy is disenchanted with it all and tells Maria that it'll never last. It's just a fad. In reality there were no 3-D movies in circulation at the time. The heyday for 3-D was in the early 1950's. By 1955 the fad had already faded. Yet another example where just a little research would have sufficed to make the story more believable.<br /><br />At times it is difficult to separate what really happened from urban legends surrounding Buddy's career. The story about how the Crickets got their name may or may not be apocryphal, but it certainly did not take place the way it is presented in the movie. Another problem with the film is how Buddy's parents are depicted. Certainly Buddy's parents were supportive of his musical career. ""Maybe Baby"" is credited to Buddy's mother and she did have input into the writing of the song.<br /><br />It's good that Buddy's biggest hits were used in the movie, but I miss hearing one of my favorites, ""I'm Looking For Someone to Love."" I'm proud that as a result of this movie, Buddy's music was reissued for a new generation to hear. His legacy is one of the very best from the early days of rock 'n' roll. Rave on, Buddy, rave on.""",IMDB,376,positive
"""I read several mixed reviews and several of them downright trashed the movie. I originally became interested in this project because it was being directed by Tony Scott and I have become very interested in his work after Man On Fire had such a profound impact on me. Before I start my review, let me first say this...it's wonderful to see that this movie could have been told in a boring and ordinary manner, yet the writers and Scott chose a different approach.<br /><br />Plot:<br /><br />Simply stated, it's not boring. Most Hollywood movies give 'tried and true' plots that they know will connect with people, often ensuring the audiences acceptance of the film and creating a higher probability of profit. This plot was one of the more interesting ones I had seen in a while. Just for reference, I recently watched 'The Weather Man' and 'Lord of War' and while I will say that these movies are excellent, and I enjoyed them both tremendously, both the plots in these movies are boring and they are told exactly how you would expect them to be told. They don't take any chances whatsoever, and they are extremely predictable after you've watched a fair amount of American films. Domino's plot is both interesting and told in a manner that keeps you thinking, ""oh man, they're screwed now"". And I feel that has been lacking in a lot of recent films. It has a lot of depth to it, in my opinion, and gives you plenty of things to question while watching it. Overall, this is what kept me so interested in the movie.<br /><br />Characters:<br /><br />I felt that the characters were accurate. Knightley did a wonderful job of portraying a beautiful woman, who was anything but on the inside and wanted to be viewed as what she was. It was obvious that she wanted to prove herself and she took whatever means she had to accomplish that.<br /><br />Choco was also very believable, his use of Spanish in inappropriate situations, his reactions to Domino's lack of affection, as well as his jealousy issues within the team...they all rang true to me, which made me feel that his character was that much more realistic.<br /><br />Rourke's character was the least interesting to me, but it still rang true to me. He seemed like an ordinary guy, trying to make ends meet. I hope that's what the filmmakers were trying to accomplish with him because that's what I got out of it. He did a very good job of showing Ed in an Average Joe kind of way that has made his mistakes, yet is still trying to live.<br /><br />Claremont/Ladies: I believe that they provided much needed 'heart' to the story. They weren't just people who are out getting money to buy a Bentley, these were real people who had a real problem and they sought others mean to accomplish that goal. You could empathize with them because, to them, this child's illness was a problem with no other solution. These characters were supposed to show real people who are less fortunate who got into this mess because they needed help.<br /><br />The mobsters: They made the story seem sinister in a way that only the mob can. And I really liked that part. They also padded the story with small intricacies that made the plot that much more interesting.<br /><br />Christopher Walken/90210 guys:<br /><br />They provided the comic relief in an otherwise very serious movie. From Walken's awkward statements to the ceaseless references to the 90210 guys being has-beens. Their involvement in the movie only made it that much more enjoyable.<br /><br />Cinematography....yes....the cinematography. This is where this movie seems to have lost a lot of potential fans. But in my opinion I thought it was genius, the use of the camera to translate the mood of the current situation was extremely effective in my opinion. I considered it a method that was properly realized but could always use improvement, just like anything else. I both applaud and congratulate Scott, the editor, the cinematographer and the director of photography on taking some real chances with this movie. Not only did they go far and above with its presentation, they went that much further. The use of colors, both extremely light and extremely dark provided the 'look' of the film with a sinister and grungy look that accurately depicts the life of the mob, bounty hunters and the less fortunate in a manner that show that their life isn't as peachy or 'clean' as everyone else. If you notice, in times of less stress or conflict, there were very few camera tricks if any at all. This shows that Scott and his crew were trying to achieve something with this look and weren't just doing it for the heck of it. I realize that most people who watched this movie weren't expecting it and it cause many of them to be turned off to this film but I think it was great that Scott took this approach. Hollywood films have grown predictable and bland. Most of them are shot in the same manner with the same twists and turns. And I'm glad that Scott tried to make something different.<br /><br />Granted, this movie isn't for everyone, but to say it's trash and has nothing to offer is completely missing the point. I thoroughly enjoyed this film and I'm glad that I spent the money for it. I would recommend this to all, but I'm sure it will only hit a chord with few. I must agree with an earlier poster when he said that many of those who refuse to see outside the 'sphere of MTV' won't appreciate this movie, but I think many people will. We should all try to enjoy it for the fact that Scott and co. took some chances and tried to deliver something that was different and unique. And with that in mind, I think he succeeded tremendously.""",IMDB,1001,positive
"""True stories make the best stories don't they? There's always something enjoyable about a story, be it novel or movie or whatever, simply by the fact that it's real makes the story all the more fascinating. This movie is based on a true story of two young American men, one a government employee and falcon enthusiastChris Boyce (Timothy Hutton)and the otherAndrew Daulton Lee (Sean Penn)is a drug dealer. These two begin selling government, mostly CIA, secrets in 1975 to the Soviet Union.<br /><br />The film focuses on the human aspect of the two men, as well as their growing personal problems (especially Penn's character with ever-worsening drug addictions), rather than glorifying their status as traitors to America, which would, no doubt, hurt the film's credibility in the US. Boyce gradually becomes more cautious and eventually frustrated and paranoid as their dealings drag on and they dig ever deeper into treacherous territory. Daulton becomes more dependent and addicted to cocaine and heroin as he becomes more frightened, and more desperate to maintain control over a situation he has no control overon top of which, he already has problems with the law. The torment of Boyce and Daulton's families because of the way they lead their lives is also well portrayed and adds well to the idea that espionage against one's country, even if thought to be done justly, leads only to major problems and the ruination of livesincluding the degradation of the friendship and trust between the two main characters.<br /><br />Here's the breakdown:<br /><br />The Good:<br /><br />--Hutton and Penn each did extensive research on the characters to capture their individual look and feel, so they're portrayed with extensive depth and realism.<br /><br />--The acting is excellent.<br /><br />--The atmosphere of paranoia builds quite well.<br /><br />--The story is fascinating, and of course, as one based on actual events, it has some added kick.<br /><br />--Nice sets.<br /><br />--The Soviets working with the Boyce and Daulton are portrayed very well, and not stereotyped or given evil consciences just for the sake of making them look bad.<br /><br />Didn't Hurt It, Didn't Help:<br /><br />--The music is alright, nothing perfect though.<br /><br />--Sound effects are occasionally a little iffysuch was the case with a lot of films from the seventies through the eighties.<br /><br />The Bad:<br /><br />--Chris Boyce (Timothy Hutton) has a relationship with a woman that we hardly know. Because of Boyce's trouble brewing with the US and Soviet Governments, her life can be put in jeopardybut this isn't as expanded upon as it feels it should've been. Minor problem, though.<br /><br />The Ugly:<br /><br />--The apparent simplicity required to sell government secrets is a little unnerving. Nothing like a constant state of unreadiness to keep the masses feeling as unsafe as possible.<br /><br />Memorable Scene:<br /><br />--Seeing the first CIA report accidentally sent to the wrong place with the reason being, ""rough night.""<br /><br />This was another film that suffered massive delays due to the controversial content of the story. Studios and producers didn't see how a movie about two American traitors could ever be accepted by American audiences. Luckily, it's filmed and portrayed with a high degree of class and quality. Of course, it helps that the traitorous anti-heroes aren't portrayed heroicallymore like a couple young men who've made gross errors in judgment in their lives. As such, it becomes a very human drama, and one portrayed very well and very believably.<br /><br />Acting: 9/10 Story: 10/10 Atmosphere: 8/10 Cinematography: 8/10 Character Development: 9/10 Special Effects/Make-up: 8/10 (little quantity, high quality) Nudity/Sexuality: 2/10 (one scene in a strip club) Violence/Gore: 7/10 (no gore, just some violence) Music: 7/10 Direction: 9/10<br /><br />Cheesiness: 0/10 Crappiness: 0/10<br /><br />Overall: 8/10<br /><br />If you like films about espionage and spies, then you can't go wrong here. If you like dramatic films with a strong focus on the humanity of the characters, then this may also work for you. Highly recommended.<br /><br />www.ResidentHazard.com""",IMDB,662,positive
"""No matter what other people have said you can't review this movie without comparing it to the original, if it existed on it's own it would be a 2-3 out of 5 film but it is a remake of a 4-5 out of 5 film and so has standards to live up to and we need to see if it reached those standards. If the film was a re-working or, as in Planet of the Apes, a re-imagining of the original you would be able to look at the film in it's own right, only referencing the original. Imagine it this way, if someone took the model in the 'Mona Lisa', posed her in a different way, and painted her you could only compare the framing,concept etc to the original but if someone just repainted her in the position of the original you would have to compare it totally.<br /><br />That said this film doesn't just fail to be as good as the original it fails spectacularly, like it or not the original was one of the best movies ever made, the shower scene will never be forgotten, the remake was meant to be a celebration of Hitchcock but ended up actually degrading him and his master work.<br /><br />The degrading aspects of this picture were Vince Vaughn and Anne Heche. It's nothing to do with wether they acted better or not it's that the relationship between Norman and Marion in the original was really quite innocent, Norman didn't really understand sex, he had hardly any contact with the outside world and when he meets beautiful Marion and watches her change you feel that he is partly doing it from fascination as he doesn't really understand sex and his attraction to her,this makes Norman sympathetic and almost an anti-hero, you are on his side because he doesn't fully understand the world and is constantly fighting with himself and his 'Mother'. In the remake that whole dynamic is gone, I must admit to Janet Leigh not being my type but she is very attractive and you can see that, Anne Heche is really unattractive and so Norman finding 'her' Marion attractive is unbelievable if you add that to Vince Vaughn's Norman masturbating whilst looking at her and you get a Norman that is just waiting for a chance to jack off at any naked woman no matter what she looks like, who you feel absolutely no sympathy for, they further destroy Norman's innocent nature by putting the porno mags in his room. It destroys a character that we have come to like and feel sorry for, it's like re-making 'It's a wonderful life' and having the main character a pimp, totally degrading.<br /><br />The only other character that I had problems with was Rita Wilson as Caroline, Marion's workmate. In the original when Pat Hitchcock says the line 'he must have noticed my wedding ring' it elicits a response of laughter as she is absolutely kidding herself, when Rita says it it just seems plausible as there really isn't any other reason why any man would flirt with Anne Heche over her.<br /><br />I'll admit that I am very biased, the original 'Psycho' is my favorite film of all time, had the film been a reworking, with a different angle, then you could have turned these characters on their heads and it would have been perfectly acceptable.<br /><br />Hitch famously thaught the film would be too gory in colour and made it in black and white to lessen it. This also made the film more atmospheric and frightening in it's own way and it gave it a beauty that could never be captured in colour and it is a sad statement about how movies are de-sensetising the public that people have said how the shower scene was more frightening in colour. (n.b before people think 'he can't spell' remember I'm from England and we spell it colour)<br /><br />A remake should be just that, re made, this is a forgery, a complete copy and a very bad one at that. I could go on comparing but there is no point, almost everything is superior in the original. The only one thing that is better is the performance of Viggo Mortensen as Sam Loomis, John Gavin was very flat in the original (Hitch called him 'The Stiff' behind his back) and Mortensen gives a more believable if less likeable performance. William H. Macy and Julianne Moore are the only other actors that hold up to the originals.<br /><br />Overall a movie that should be labeled 'Expensive Embarrassing Failed Experiment. Only view if comparing to original or if original is unknown to you. But view original too' The movie would have got a 3 out of 5 if it were original or a reworking but as it is 0.5 out of 5 (for Macy, Moore and Mortensen)""",IMDB,814,negative
